loc_rowid,kepid,koi_sage
799,6607447,0.2300
800,6677256,
801,8030148,10.5000
802,6692833,0.3000
803,6693640,0.5500
804,6441738,0.9000
805,8801343,2.6300
806,7357531,9.8000
807,7287415,2.1000
808,6924203,0.4000
809,6878167,2.2000
810,6880531,0.3000
811,6863839,0.6000
812,7296086,13.9000
813,5652237,4.7000
814,6766634,
815,6774826,
816,7211469,1.4900
817,7375795,
818,7375795,
819,12254792,0.4000
820,12020218,0.4000
821,7690844,0.4000
822,9535080,3.6700
823,11870545,1.0000
824,7901948,0.6000
825,11955499,0.7000
826,9784222,0.3000
827,9520668,13.5000
828,7871954,13.9000
829,6803202,6.6000
830,11045383,13.3000
831,11046025,13.8000
832,11153121,7.4000
833,11153121,7.4000
834,11153121,7.4000
835,11177543,0.6000
836,11337141,13.9000
837,11337372,
838,5972334,3.4000
839,11337833,0.3000
840,11391667,13.4000
841,11392017,5.0900
842,11546211,14.0000
843,11547505,4.7000
844,8488878,
845,8560285,
846,8620565,1.6000
847,8616873,0.6000
848,8737796,1.6000
849,8462258,
850,10925104,8.3000
851,8454250,
852,8494263,
853,8848271,8.4000
854,8751933,13.9000
855,8630788,0.6000
856,8630788,0.6000
857,7211221,0.4000
858,7025526,13.8000
859,9451127,0.5000
860,9446824,2.9000
861,8953257,1.5900
862,9527915,10.7000
863,8971432,12.3000
864,9278553,0.3000
865,9143254,3.3000
866,8949247,3.5000
867,9346253,0.3000
868,9002237,0.4000
869,7871954,13.9000
870,12418724,0.4000
871,7456001,2.9000
872,7549209,0.4000
873,7663405,
874,9765975,9.6000
875,9818462,14.0000
876,12266636,7.0000
877,9850893,13.8000
878,4826110,13.4000
879,11455491,0.2600
880,5527172,
881,10799735,0.4000
882,5529643,0.2000
883,5530882,0.5000
884,5531953,13.8000
885,5618071,
886,6034945,5.0000
887,6048024,0.2500
888,6049190,0.2400
889,6149553,13.9000
890,6198999,13.8000
891,6310636,3.0000
892,10904857,0.3000
893,8630788,0.6000
894,8823426,13.9000
895,8766222,
896,8678594,0.5000
897,10925104,8.3000
898,8678594,0.5000
899,8703884,
900,8560840,1.0000
901,8612847,1.1000
902,8552583,0.4000
903,8547140,13.9000
904,8519253,0.3000
905,9288786,14.0000
906,8958035,0.3000
907,9040849,
908,9202151,
909,2441495,14.0000
910,8937021,13.5000
911,8935810,0.7000
912,9455556,0.6000
913,9455556,0.6000
914,9427402,
915,9269281,
916,9100484,
917,7869917,1.4100
918,9824805,0.3000
919,7768451,13.2000
920,7691260,0.6000
921,9821454,0.2600
922,9821454,0.2600
923,11954842,1.4800
924,11764462,3.6000
925,11656246,2.5800
926,7808587,0.7600
927,4471747,2.9000
928,4474645,0.5000
929,4570949,0.6200
930,4650733,0.2800
931,4830605,0.3000
932,5972334,3.4000
933,4832197,3.6500
934,4844004,0.6000
935,4927315,0.4000
936,4928119,
937,4932442,0.3000
938,4932442,0.3000
939,5008501,0.3400
940,5015913,3.1100
941,8813698,1.0900
942,8757910,0.2900
943,8564587,0.6000
944,10874614,1.3000
945,10925104,8.3000
946,8564587,0.6000
947,8631160,2.2300
948,8552498,2.4400
949,8806072,0.4000
950,8800954,9.3000
951,8583696,9.0000
952,8804283,0.4000
953,9157908,1.6400
954,9030447,0.7300
955,9034103,0.3000
956,11666881,0.2600
957,9214942,13.6000
958,8874090,1.6000
959,9264949,0.3000
960,9271752,0.3000
961,9007866,0.7000
962,9150827,13.9000
963,9150827,13.9000
964,9663113,3.0000
965,4741126,0.8500
966,4741126,0.8500
967,11669125,3.7000
968,12159249,3.2000
969,9872292,
970,9963461,
971,8081482,10.1000
972,5649956,3.8000
973,4840513,0.2700
974,8113154,0.3000
975,5103942,0.3000
976,5183357,0.5000
977,9631995,1.5000
978,7950644,0.8000
979,5184709,0.2000
980,5195172,5.4000
981,5269467,13.9000
982,5271608,
983,5357470,3.8000
984,5360920,0.4000
985,5443775,4.4000
986,5526717,0.4000
987,5526717,0.4000
988,8804283,0.4000
989,8552565,0.3000
990,8609450,0.4000
991,6541920,7.2000
992,8609450,0.4000
993,8609450,0.4000
994,8609450,0.4000
995,8628758,0.3000
996,8628758,0.3000
997,8509361,5.9000
998,8742590,0.5000
999,9391208,6.1000
1000,9391506,0.5000
1001,9425139,2.4000
1002,11512246,4.9000
1003,8950853,2.0000
1004,9006449,8.8000
1005,9006449,8.8000
1006,9006449,8.8000
1007,8916492,
1008,11193447,
1009,11517719,3.4000
1010,9663113,3.0000
1011,5270698,0.4000
1012,5024450,
1013,5282049,
1014,5475431,0.5000
1015,5283458,
1016,9940565,11.0000
1017,8053552,10.9000
1018,8111381,0.4000
1019,5444549,
1020,7984047,
1021,9573539,2.1000
1022,6312534,14.0000
1023,6470917,1.4000
1024,6611330,
1025,6616218,1.9000
1026,6616218,1.9000
1027,6696462,3.8000
1028,6699368,3.2000
1029,6803855,5.4000
1030,6891366,3.7000
1031,6891637,13.9000
1032,11502867,2.7000
1033,6975615,13.9000
1034,7137725,2.7600
1035,7220429,13.9000
1036,8822366,6.3000
1037,8700771,10.5000
1038,10960993,
1039,6541920,7.2000
1040,10599397,
1041,10879208,0.5000
1042,10843203,
1043,10790387,1.0600
1044,10748393,
1045,10874226,0.4000
1046,10661771,3.8000
1047,10924853,0.4000
1048,11599264,
1049,11100657,
1050,11125936,1.2000
1051,11512246,4.9000
1052,11026304,
1053,11342550,4.7000
1054,11497958,13.9000
1055,11497958,13.9000
1056,11497958,13.9000
1057,11497958,13.9000
1058,11497958,13.9000
1059,7951018,0.3000
1060,9899355,
1061,12644774,
1062,9902856,0.8000
1063,5371776,14.0000
1064,5371776,14.0000
1065,5371776,14.0000
1066,5371776,14.0000
1067,10019763,
1068,9899280,13.9000
1069,12504988,0.9000
1070,8046659,10.9000
1071,10351767,0.4500
1072,10295951,1.5100
1073,10342041,4.2000
1074,10514770,12.9000
1075,10342065,1.6000
1076,10352945,
1077,10354039,13.7000
1078,10330115,0.7000
1079,10426656,13.9000
1080,10426656,13.9000
1081,7626506,9.4000
1082,10426656,13.9000
1083,10874926,0.5000
1084,10549562,0.2300
1085,6541920,7.2000
1086,10666230,0.4000
1087,10971674,9.2000
1088,10676923,0.9100
1089,10604335,14.0000
1090,10604335,14.0000
1091,10864656,3.8700
1092,10975146,13.9000
1093,10538176,0.5000
1094,10538176,0.5000
1095,11177707,0.5000
1096,11611600,1.0000
1097,11254382,0.4000
1098,7255336,4.4000
1099,11512246,4.9000
1100,11122894,1.9000
1101,11122894,1.9000
1102,11122894,1.9000
1103,11129738,14.0000
1104,11401182,13.9000
1105,11030711,0.5000
1106,4940438,1.9000
1107,5308663,
1108,5219234,
1109,5219234,
1110,5219234,
1111,5219234,
1112,5184584,0.4000
1113,5636648,0.4000
1114,5564247,
1115,5376836,0.6000
1116,5438099,
1117,5438099,
1118,5438099,
1119,5438099,
1120,10528068,4.8000
1121,10468940,5.1000
1122,10468940,5.1000
1123,10341831,13.9000
1124,10337517,9.7000
1125,10337517,9.7000
1126,10351231,0.3000
1127,10485179,0.6000
1128,10460629,3.0000
1129,7626506,9.4000
1130,10724369,0.4000
1131,6541920,7.2000
1132,10867062,14.0000
1133,10744335,0.3000
1134,10730034,0.6000
1135,10730034,0.6000
1136,10858691,0.5000
1137,10858691,0.5000
1138,10858691,0.5000
1139,10858691,0.5000
1140,11176127,14.0000
1141,11176127,14.0000
1142,11176127,14.0000
1143,11075279,2.1000
1144,6185711,0.5000
1145,11014932,0.4000
1146,11014932,0.4000
1147,11014932,0.4000
1148,11014932,0.4000
1149,11288505,0.4000
1150,11493431,13.9000
1151,11037335,0.3000
1152,5210475,
1153,8009350,13.7000
1154,8082001,
1155,5557821,
1156,10004519,
1157,5031857,0.3000
1158,9651668,0.3000
1159,5031857,0.3000
1160,10028792,0.5000
1161,10028792,0.5000
1162,10028792,0.5000
1163,10319385,1.6000
1164,10482160,0.4000
1165,10485069,0.3000
1166,10341913,3.5000
1167,10480921,1.0300
1168,10287723,14.0000
1169,10350571,8.8000
1170,10350571,8.8000
1171,3749365,5.3000
1172,3547091,0.4000
1173,2307199,1.1700
1174,10973814,7.6000
1175,10973814,7.6000
1176,6541920,7.2000
1177,10586208,1.0000
1178,10854768,0.7900
1179,10964440,0.5000
1180,10713616,4.7000
1181,10963242,0.2500
1182,10963242,0.2500
1183,10785538,2.5000
1184,10585852,4.2600
1185,11037335,0.3000
1186,11389771,2.4000
1187,11389771,2.4000
1188,11044770,0.9900
1189,11389771,2.4000
1190,11599038,1.9000
1191,11193263,4.9000
1192,11027624,4.4600
1193,11032227,0.3000
1194,11356260,6.4000
1195,11600889,4.6000
1196,11197126,8.6000
1197,5553652,0.8000
1198,5299459,13.5000
1199,5299459,13.5000
1200,5299459,13.5000
1201,12506770,14.0000
1202,5629985,2.2000
1203,7972785,0.4800
1204,9898364,1.2700
1205,5193400,0.4000
1206,7939330,2.3000
1207,7939330,2.3000
1208,4918309,0.5000
1209,3869825,0.5700
1210,3655332,6.2000
1211,4042026,13.9000
1212,3344419,14.0000
1213,3865567,0.3000
1214,3544689,0.4000
1215,4037164,
1216,3443790,2.6700
1217,3966912,5.7000
1218,3848972,0.5000
1219,9110357,0.7100
1220,8394721,0.2300
1221,3860441,0.5000
1222,10928043,1.6000
1223,10794087,5.1000
1224,6541920,7.2000
1225,10794087,5.1000
1226,4275739,
1227,4070376,0.8000
1228,4078157,
1229,4164994,
1230,4480676,13.4000
1231,4079535,
1232,4076098,
1233,4551328,13.7000
1234,11043167,3.3700
1235,11336883,1.8000
1236,7831264,0.3400
1237,11336883,1.8000
1238,11336883,1.8000
1239,12506351,1.9000
1240,7622486,
1241,7622486,
1242,9705459,10.2000
1243,7802136,2.4000
1244,7532973,3.7700
1245,9632895,0.4000
1246,12602568,0.6000
1247,9941066,13.9000
1248,5470739,0.4000
1249,10022908,1.7000
1250,9932970,11.9000
1251,10125352,3.2600
1252,4178389,0.4000
1253,5617854,13.9000
1254,5301750,4.0000
1255,5301750,4.0000
1256,5301750,4.0000
1257,3765771,0.4400
1258,3557341,0.5000
1259,3859628,
1260,3644071,13.6000
1261,3942446,9.2000
1262,3554031,
1263,3554031,
1264,3554031,
1265,3644523,
1266,8394721,0.2300
1267,3348082,3.5000
1268,3853673,0.3000
1269,3447722,0.3100
1270,4282872,0.4000
1271,10555375,4.4000
1272,4639868,3.6000
1273,4372768,
1274,4074736,0.5000
1275,4072526,2.3000
1276,4150539,13.9000
1277,4274548,
1278,4455231,
1279,4455231,
1280,4455231,
1281,4285107,0.6000
1282,7449844,1.5700
1283,7831264,0.3400
1284,7842610,9.6000
1285,7830637,0.3000
1286,4760746,
1287,7832356,
1288,9643874,
1289,12120943,
1290,9761199,14.0000
1291,7751571,
1292,9579499,1.4000
1293,11913013,
1294,8692861,0.4000
1295,5301750,4.0000
1296,5301750,4.0000
1297,5542466,13.7000
1298,5542466,13.7000
1299,5542466,13.7000
1300,10028140,0.7000
